iter	Accuracy	Logloss
0	0.9321266968	0.6313698068
1	0.9773755656	0.5865476853
2	0.9773755656	0.530252084
3	0.9683257919	0.4876612603
4	0.9728506787	0.4563612556
5	0.9954751131	0.4128147679
6	0.9954751131	0.3775722181
7	0.9954751131	0.3490495404
8	0.9954751131	0.3136342658
9	0.9954751131	0.2860913028
10	0.9954751131	0.2544256457
11	0.9954751131	0.2344654087
12	1	0.2236438304
13	1	0.2077378814
14	1	0.1935598852
15	1	0.1766734212
16	1	0.1675921721
17	1	0.1556326034
18	1	0.1484743071
19	1	0.1375958816
20	1	0.1289869904
21	1	0.1207286183
22	1	0.1102191176
23	1	0.1055351519
24	1	0.10102629
25	1	0.09709584818
26	1	0.09555640417
27	1	0.09219249709
28	1	0.08879286946
29	1	0.08466592235
30	1	0.07930548927
31	1	0.0769881594
32	1	0.07409375025
33	1	0.0720102538
34	1	0.06826773434
35	1	0.06561354125
36	1	0.0641746064
37	1	0.06087044621
38	1	0.05676014574
39	1	0.05571768806
40	1	0.05498113172
41	1	0.05422315408
42	1	0.05254539691
43	1	0.05002008013
44	1	0.04926089596
45	1	0.04663924155
46	1	0.04573016566
47	1	0.04502475425
48	1	0.04345294591
49	1	0.04247787899
50	1	0.04100315212
51	1	0.03907581623
52	1	0.03726416622
53	1	0.03562993564
54	1	0.03524729227
55	1	0.0332675946
56	1	0.03268791443
57	1	0.0318037484
58	1	0.03117042803
59	1	0.02996973299
60	1	0.02834133119
61	1	0.0278188595
62	1	0.02729367277
63	1	0.02672172448
64	1	0.0263964068
65	1	0.02542636188
66	1	0.02437337082
67	1	0.02412117751
68	1	0.02367542814
69	1	0.02266153008
70	1	0.02226152206
71	1	0.02189018003
72	1	0.02161775026
73	1	0.02115474152
74	1	0.02066208106
75	1	0.02024500718
76	1	0.01977335856
77	1	0.0191706112
78	1	0.01875685322
79	1	0.01807174555
80	1	0.01767520401
81	1	0.01748303492
82	1	0.01696821031
83	1	0.01646904573
84	1	0.01618302082
85	1	0.01587020294
